Posts,Emotion
ốc đổ võ vô văn_học,0
đm gật đầu quả_quyết vãi,1
mem gọi gió cạnh đứa gom_góp xây_dựng xưa sơn_phòng màu tím màu chung_thuỷ mãi hôm_nay m giấy khai chồng đau_lòng m chứng_kiến mất_mát trải cảm_giác chịu_đựng nổi mãi đi đi giấy chồng chứng_nhận ch et đau hả chồng trường nc tư_nhân mẹ đứa bươn_chải ra_đời vất_vả gấp đôi chi_phí thành_phố chạy xe_ôm công_nghệ chạy ship đời mẹ_con kotừ m bầu nghén nghỉ thương chạy_đôn_chạy_đáo bữa thèm phở bò nhắn bảo lát xong mua nóng_ruột gọi bắt máy mãi h điện_thoại bệnh_viện gấp tai_nạn lái_xe say_xỉn kéo văng đi m bv cấp_cứu bv xe treo túi phở mua vội mẹ_con đi vội_vàng gái kịp mặt ước ước hôm phở bảo anh_em mãi cạnh mẹ_con câu mãi_mãi lái_xe tai_nạn đền tr thèm hỏi_thăm thắp nén nhang mất_mát đau_thương kéo_dài tang_tóc sợ sợ đi đường thân_quen sợ thân_thuộc hơi ấm trách số_phận đi giờ_đây_phận vợ run_run viết tờ giấy khai_tử đau_thương giúp bc,2
sống chậm trở_nên tốt_đẹp,1
pha i ki thi ma gơ mày vãi,0
ngửa mùi thấy_kinh,0
lợi_ích kinh_tế lâu_dài,5
admin nghệ_an mưa ốm cam_lòng vã lắm,2
tao chúng_nó chọc buồn,2
mẹ chồng cay_nghiệt,0
móng sống phục_vụ uổng_phí tuổi_trẻ đời nuôi móng thay có_ích gia_đình xã_hội đời ngắn_ngủi trân_trọng quý_báu,0
đau_lòng khóc buồn chẳng trân_trọng tình_cảm,2
giá_mà giận v,2
kiếp gieo nghiệp kiếp gánh,2
đợi một_chút cuộc_đời dịu_dàng một_chút đối_xử bao mệt_mỏi cô_đơn thiệt_thòi cay_đắng đừng bi_quan đừng nhẫn_nại chăm_sóc thản_nhiên nương_tựa hạnh_phúc đừng tủi_thân đừng thức khuya tổn_hại sức_khoẻ chờ_đợi hạnh_phúc kiên_nhẫn chờ tham_gia hà_nội review đồ_ăn ngon hà_nội địa_điểm cafe sống ảo hà_nội lang_thang hà_nội group ảnh đồng_văn_cường st,5
buông yêu_thương hạnh_phúc bay đôi nổi nắm chặt đau,2
bọn hại gươm dao bọn tiêu_diệt nguồn_lực tương_lai dân_tộc tội thực_phẩm bẩn khung tử_hình đi mong nhà_nước luật_định đi,4
phản_cảm,0
nắm xe_tải kéo kéo xe đồ_chơi dị,5
mặt ngáo lạ_lẫm,5
chẳng nhà_bếp nấu đồ ngon toàn thiu thối kém chất_lượng mua lãi nhật bắt công_nhân đầu đổi giám_đốc đéo nuốt nổi,0
giàu_có vật_chất hạnh_phúc giàu nhìu,5
má toàn truyện mơ hà mắc_cười,1
ngờ nhắn riêng_tư kiêng_nể nhắn_tin lỡ chụp chả,3
dễ_thương chờiiiii,1
đi,5
đợi,1
tao mày,1
ghê,0
thể hiển,0
nhắn tao yêuc đéo suy_nghĩ vãi,1
ta hàng kiếm tiền công_việc mệt,5
kết_hôn tình_đầu tình thất_bại nỗ_lực yêu_đương ly_hôn liền lao làm_việc mục_đích kiếm tiền tái hôn sống cuộc_đời thong_thả trời sinh thú_vui tao_nhã lựa_chọn độc_thân đời dĩ_nhiên độ hợp_pháp kết_hôn hết_thảy tình_yêu lẽ lẽ đương_nhiên tình_yêu sai yêu yêu người_yêu ta chẳng chút cảm_tình đừng lao tình_cảm mập_mờ theo_đuổi cự_tuyệt ảnh tuân đính,5
tự_nhiên cảnh bánh_bèo ngỗng dí,1
tao dễ_thương ế mơ_mộng,2
tiện đọc viết audio đâyxin chào hoàng chó chân ngắn hoàng chủ đấy hello mấy cưngbình sủa ẳng google translate thông_minh mấy chả thể may thân torashi khả_năng tiếng chó chậu hoa rơi đầunếu spiderum sủa gâu gâu thân phiên_dịch thú_thật nổi_tiếng nhân loài_người gọi chủ_nhật chờ trị mấy cục xương gặm viết trị nhặt bãi rác nhàcuộc đời có_lẽ chết đói mòn đít hôm trị hồi nhỏ_xíu sinh dạng chó lai sinh trại nuôi chó tuổi_thơ thú_vị anh_em loài quốc đức bản_xứ việt_nam cuộc_sống trại chó chả công_viên anh_em vui_chơi nhảy_múa đêm cuộc_sống sướng lắm hầu tận miệng tắm tắm hàng tỉa lông gọn_gàng bọn đánh sạch_sẽ loài_người bảo chó mồm thối đừng trách cắn nhéđang yên lành dậy_thì bọn chó gọi đi bọn dần cứng_cáp một_chút yêu hàng_xóm chuồng cạnh đồn bọn giá khổ_nỗi đẹp_trai lai trời_ơi ghét loài_người câu vui_chơi nhảy_múa vấp trưởng_thành mệt chủ nuôi lờ_mờ khoảnh_khắc khắc cuộc_đời diễn lắm chủ giao tiền chủ giao chó chủ dụ chuồng chất đống thức_ăn bộ_não bé trái nho lao ngấu_nghiến trời_ơi toàn món ngon lịm đi mở_mắt hồi ngu chó chê đồ_ăn ngon loài_người đồng_ý đồng_ý dơ nhéđọc thêmgiáo trình luyện giao_tiếp tiếng chó bảngiao tiếp chó sủaspiderumcomnhà chủ trại chó đẹp lung_linh tường sơn màu hồng phấn đồ_đạc toàn màu vàng óng quản_gia hầu cưng_chiều vua chế_độ bữa móng tỉa lông hàng vi_vu chủ đi du_lịch chỗ ngủ xịn sò xinh_xắn nho_nhỏ nằm cạnh giường chủ cuộc_đời thần_tiên hàng mơ_ước chủ trai dáng dáo mặt lông đẹp_trai ngang_ngửa chủ đi vui_vẻ lắm y_hệt hai cộng đi đi phim đi ăn_ở nhà_hàng sang_trọng lạ chỗ mấy chỗ đấy chẳng hai rẽ hướng mấy bồi_bàn hướng chỗ biển mặt chó kèm dấu_gạch_ngang màu đỏ đồ_ăn ngon ưng bụng bẵng đi chả đừng chó lịch thằng thân torashi dạy học đếm sủa gâu gâu mấy hồi đấy học thuộc_lòng quên trở_lại câu_chuyện chủ trai lãng_quên câu_chuyện trừ thành hai đi chủ trai giường trò_chuyện hai nói_chuyện vuốt_ve tống phòng ngủ âm_thanh lạ phát lạ lắm âm_thanh ngôn_ngữ con_người lắm tiếng sói hú tiếng lợn kêu phòng chủ cách_âm lắm chó tai thính tuần âm_thanh vang chẳng chóng chày chủ bỏ_bê gã trai âu_yếm đẩy đồ_rằng lão vuốt_ve chủ_yếu lấy_lòng chủ chiến_dịch thành_công lão đá hai gắn đỉa đói kệ miễn hàng đồ_ăn chủ bọn đầu_bếp toàn đồ_ăn thừa hôm đồ thiu mấy mồm đồ ngon quen mấy lão mấy đồ đấy đếch ức quyết_định khăn_gói đi đi đi suy_nghĩ mãi quyết_định trại chó sinh hồi bé nỗi_niềm bố_mẹ anh_em hàng_xóm ngon lửa sôi sùng_sục say goodbye thân_yêu quên tặng mấy thằng đầu_bếp bãi cứt to_tướng chảohành trình trở tuổi_thơ gian_nan hồi bắt đi bé xưa đường hồi xe_cộ thế_này cố_gắng trí_nhớ cá_vàng đi hành_trình vạn dặm chân đi sợ học câu não to loài chó sống triết_lý ta đi đi mãi lối đói đói chân nặng_nhọc chủ ngu quyết_định dứt lông đi thằng trai cưng mẹ đá_đít xã_hội_học sống_sót đi mấy thằng trai cưng bray đói đói vãi lịm dần đôi mắt mờ đi thoáng trượt skate đi chỗ kịp sủa tiếng ngất đi rồigiờ trị cưu_mang cuộc_sống vua_chúa đầy_đủ xung_quanh toàn mấy mèo đanh_đá cá cầy hạnh_phúc nguyện liếm chân trị suốt đờiđọc nuôi chó hai mèobài viết từ_ngữ tác_giả cân_nhắc kỹ đọc thumbnailspiderumcom torashi hoàng cuộc_đời chó,5
mem trải thú_tội chào anh_chị_em viết tâm_sự trải cuộc_sống yêu_đương lời_văn anh_chị bỏ_qua giúp ngữ_văn sinh_viên trường công_việc ổn_định bàn lương thưởng tình thời hai đứa yêu học trường đi quê chỗ km đấy trọ công_ty sinh_viên chúng_em yêu nghĩ_ngợi yêu cưới_xin sảy mâu_thuẫn nhen_nhóm nhen_nhóm dần đỉnh_điểm gia_đình câu_chuyện tùng dịch sinh gia_đình công_giáo bố_mẹ sùng_đạo đi_đạo đạo abcxyz cuộc_sống hôn_nhân hai vợ_chồng kết_hôn ly_hôn trai duy_nhất bố_mẹ gay_gắt tâm gương ngoại_đạo thuyết_phục bố_mẹ chúng_em sống đời đẹp đạo bố_mẹ mày đạo lẽ đạo đạo mày nhỡ va_vấp lục_đục đi mày lỗi đạo khổ_thân quyết_tâm yêu người_yêu mắc bàn cưới tầm chút tiền tiền móng xong gian cưới hai xây chúng_em tranh_cãi thanh_xuân gái trai mệt_mỏi cố giải_quyết chúng_em yêu quê lạ dần hằng đỉnh_điểm bọn cãi xoá nhắn trai mess zalo vô_tình check giải_thích game ghen xoá gắt bỏ_qua yêu tiếp câu_chuyện tùng dịch thú_tội sinh_viên chúng_em tuần quê làm_việc nhu_cầu quê ngỏ ý_muốn từ_chối đứa đi tỉnh thắc_mắc bọn yêu ví_dụ quấn người_yêu thẳng giải_thích đêu xxx thề vướng lịch thắc_mắc bieets đành bó_tay tự_nhiên xấu người_yêu liệu n người_yêu bắt cá liệu công_ty lắm vệ_tinh chỗ trọ lắm yêu bọn nhắn_tin bối_rối biết_nghĩ anh_chị_em bớt chút đọc câu_chuyện đầu trải lời_văn hơi lủng_củng câu_chuyện chính_xác mong khuyên anh_chị_em xin_lỗi anh_chị bực,5
gái chả trai đi dume mày hàng_không,1
tao kiếp tu thành_tâm kiếp cuộc_đời tao trò_đùa tạo_hoá ghẻ_lạnh chán đời,2
động_lực phan gái,1
triệu_hồi tổ tư_vấn m mẹ đơn_thân ly hônm quen facebook kết_bạn nói_chuyện bình_thường m b km quen rủ đi uống ấn_tượng ban_đầu hiền_lành bóng_bẩy hào_hoa thẳng_thắn uống nói_chuyện chém gió bạn_bè thôithỉnh thoảng văng_tục nhắn m say nắng từng_trải bất_cần con_người theo_đuổi hằng nt tối nói_chuyện b rủ đi tam_đảo duyên mưa đứa quán cafe tán phét trưa đi xong bảo mưa nn nghỉ chút chiều gọi chị_em trời mưa chẳng đi thuê p giường lỗi m chủ_động chút đi chị_em anh_em thành vkck đợt nhắc cưới_xin bảo dịch xong cưới chờ mùa thu xem_ngày cưới m lắm bảo trách_nhiệm m cưới mang_tiếng sở khanh ta trách_nhiệm,5
mem tao người_yêu tao đứa yêu đứa người_yêu tao vợ nhắn vợ cưới đứa vô_tình đứa tao đoạn nói_chuyện cắt mấy mẩu tn mày thẩm tao tao rối trống_rỗng tao tao thương lắm tao mong cs hp tao đàn_bà tao cướp tao sợ dặn chăm_sóc bố rắn_độc vẻ mặt thánh_thiện kia lôi_kéo cháu mày tao động_lực đi ht,4
đi nha,1
tao mỡ đè chết mày,4
đéo đéo mày bữa_nay tao đéo đi ỉa củ lồn,4
chán tán yêuc,1
gái dễ_thương nhắm_mắt đại,1
cầu_mong cuộc_sống,1
tao đẻ đứa,1
bá_đạo,3
chán góc trời đời trôi chậm mưa áo_mưa mưa chạy xe chậm tận_hưởng cảm_giác đau rát hạt mưa rơi liên_hồi mặt có_lẽ mưa rơi ta cảm_giác buồn cô_đơn lạ,2
đi niềm chả vụng_về đánh_rơi xa_vời chân_thành tổn_thương,2
hấp_dẫn sông cá_sấu lót dép hóng,1
tao cừi tao ỉa,1
hoá_ra tình_yêu ta,2
câu ta đắng vị đời,2
rơi tim nguy_hiểm thiệt,3
sáng_tạo,1
gia_đình ổn tình_yêu động_lực kaka,1
cuộc_đời hôm_nay vấp hãm l đồng_nghiệp mang_tiếng đồng ngh iệp chả nói_chuyện tự_dưng hôm đấy tỏ_tình t tất_nhiên từ_chối người_yêu tưởng xong ai_ngờ mấy hôm kiu trả_lời người_yêu từ_chối mà_còn trả_lời biến_thái ý_muốn chỗ đi đợi đi vệ_sinh đứng chờ chặn hãi lắm dám đi hôm cúi đầu xin_lỗi t m tưởng_tượng nhật cúi đầu y hoàn_cảnh bối_rối tự_nhiên làm_vậy xin_lỗi chặn đường hẹn nói_chuyện sợ chết dám đồng_ý mấy định chửi ngại chỗ đồng_nghiệp ngờ hôm_nay phát_hiện đi nói_xấu người_yêu dây_dưa chừng ct người_yêu quen t đeo nhẫn từ_ngữ diễn_tả thằng í hoang_tưởng bọn trai đổ thả thính thằng chân đạp hai thuyền con_mẹ nói_chuyện công_ty nói_chuyện mạng xã_hội điện_thoại mồi_chài giấc mơ mày tao ý_kiến,4
vợ chiến vleuuu chiều_qua tao cay chúng_mày đ vợ_con kiểu vợ tao dạng đấu gấu thôn du_côn xóm hễ biến ngứa_mắt méo nhảy mặc_dù chồng xích_mích bạn_bè có_mặt trượt phát sẵn_sàng đổ m áu hôm_qua bình_thường hôm tao đi đón chiều_qua tao bận vợ đi đón đ tan học h h cô_giáo nhắn_tin tao cay vleu thân trai vợ bố mẹ tổ lái,0
chời dễ_thương,1
tao công_nhận giỏi vãi đứa diễn đứa edit video giỏi vãi,1
công_khai sai công_khai chẳng tâm_lý suy_sụp,5
công chấp_nhận trách ý_tứ quyền cấm đem mấy trách trách khả_năng làm_việc nhân_viên vệ_sinh,0
hồi ngỗng rượt chạy khóc la,3
tao đi hâhah,1
coi đoạn chó chết cười,1
mai gọi dậy đi,5
đời đắng mặn,2
hình_như đứa ranh_con củ lồn,0
thi_tuyển sinh ước_mơ trường chuyên tips luyện thi,5
chiều bắn chưởng,5
moẹ s tuổi_thơ toàn găp thằng mất_dạy toàn đánh bắt_nạt b nữ đm thằng thằng lơn tau,4
haha tiền tao tiêu hộ đóng thuế củ phí,5
cá_chép bơi hồ tính_chuyện đánh_bại rồng vẫy_vùng_châu,0
ngành truyền_thông marketing cất_cánh chặng đường mua vé chỗ trải_nghiệm quay_cuồng xoay chiều liên_tục phương_hướng ngờ mệt_mỏi áp_lực thần_kinh gương tự_nhủ ngành nhàn dám con_số tròn lắm học lăn_xả môi_trường deadline nàytôi chập_chững nghề chả thể phương_pháp khuyên thần_thánh philip kotler bậc thầy marketing ngưỡng_mộ đơn_thuần trải_nghiệm bài_học dĩ_nhiên hy_vọng giúp xắn nghề tố_chất marketing mệnh_đề đằng động_lực hướng bản_chất sinh học_sinh thi đại_học đại_học bừa trường đấy học chào_hỏi google câu quen_thuộc nghề xxx yếu_tố dám câu tưởng bình_thường dập tắt hy_vọng ngành_nghề học_sinh sinh_viên hề một_chút định_hướng công_việc kém năng_động hướng_nội lĩnh_vực truyền_thông marketing mặc_dù đôi_chút tò_mò marketing công_nhận kêu đấy gõ phím tâm_sự google câu nghề marketing cần_yếu tố hiện màn_hình giao_tiếp sáng_tạo cụm_từ cú vả trời_giáng vốn viên gạch tự_ti hiện xây xung_quanh tường kiên_cố kèm biển đóng chắc_nịch dòng chữ mày hợp ý_kiến bố_mẹ nét mặt biểu_hiện chả mấy coi nghề mỏ vàng lý_tưởng đào bố marketing đối_ngoại giỏi bố sợ bố_mẹ tư_vấn kiểu đấy tụt mood trở_lại chăn_gối ngành truyền_thông marketing content agency hà_nội giao_tiếp sáng_tạo liệu bẩm_sinh sẵn mấu_chốt rào_cản vô_hình hướng_nội tham_gia hoạt_động tập_thể đù_đờ kém năng_động chả mặt_nạ cố_tình đeo mặt bắt hướng_nội google dấu_hiệu hướng_nội bám loài sinh_vật cộng_sinh thể một_mình ngại quan_hệ ta coi cớ biện_minh hành_động thành_thật marketing nghề kỹ_năng giao_tiếp uốn lưỡi thần_thánh mc truyền_hình giao_tiếp kết_nối cảm_xúc sản_phẩm thương_hiệu brand tiêu_dùng đem thiết_thực đồng_nghĩa đối_ngoại chứng_chỉ ngoại_giao đòi_hỏi trí tư_duy logic nghiên_cứu trải_nghiệm mặt khách_hàng mua hình_thức marketing truyền_thống áp_dụng thời_buổi thế_hệ x cha_mẹ cứng mặc_định marketing trơ mặt so_sánh bản_chất lười hoà_nhập dĩ_nhiên chẳng_thể trách_móc bố_mẹ sành internet sâu trừ nghề giao_tiếp kém hoà nhậptuy nhiên giao_tiếp đồng_loã hành_vi lười hoà_nhập ngại mở_rộng quan_hệ ta ta hoà_nhập tập_thể bao_biện hướng_nội mong bỏ_qua trông_mong thông_cảm hướng_nội kệ đi thân kiểu nói_chuyện ta thân bắt_nguồn câu_chuyện ngớ_ngẩn giao_tiếp kém sợi dây_xích trói_buộc chân tiến mục_đích hoà_nhập cố vin hướng_nội ép chủ_động giao_tiếp mở_rộng network ngành truyền_thông marketing trải_nghiệm hoà_nhập môi_trường làm_việc chủ_động mở_rộng quan_hệ tiền_bối anh_em nghề đem cafe hàn_huyên buôn kiến_thức kèm_cặp trao_đổi giải_đáp thắc_mắc giúp_đỡ định_hướng nghề_nghiệp đi năng_lực thông_tin mạng loãng người_thân bất_lực tư_vấn đi giúp_đỡ nghề giúp_đỡ hình_thức phí dĩ_nhiên chủ_động mồm làm_quen chào_hỏi nói_chuyện đừng ỷ_lại mác hướng_nội internet vẽ nhan_nhản trang báo ta ta giao_tiếp kém nghĩa ta chủ_động học hoà_nhập sáng_tạo chả tự_tin vỗ_ngực tao sáng_tạo căn_cứ dẫn_chứng sáng_tạo sáng_tạo phạm_trù rộng_lớn cắt_nghĩa xuân diệu cắt_nghĩa mùa xuân ta giải bài_toán ta sáng_tạo ta trèo cổng trốn học phát_hiện ta sáng_tạo ăn_trộm baron góc ta sáng_tạo giải_pháp suy_nghĩ tư_duy thấu_đáo sáng_tạo tự_ti hợp sáng_tạo sáng_tạo xuất_phát lười chủ_động tư_duy có_lẽ cộp mác hướng_nội định_nghĩa sáng_tạo i thinkcâu sáng_tạo không_thể_nào thấp_kém sáng_tạo căn_cứ suy_nghĩ tư_duy tìm_tòi công_việc nghiêm_túc chỉn_chu ta chủ_động bộ_não ý_tưởng đáp_án sáng_tạo góp_ý thất_vọng thái_độ hành_động sáng_tạo mạnh_dạn sáng_tạo ta chủ_động lười suy_nghĩ ta sáng_tạo sáng_tạo công_việc đầu_tư căn_cứ sáng_tạo tố_chất truyền_thông marketing giao_tiếp sáng_tạo coi vế bôi đậm động_lực hướng bản_chất vốn dĩ_nhiên bẩm_sinh lợi_thế nghĩa ta luyện_tập ý_định đôi_chút marketing thử ý_tưởng vốn sốnghãy trải_nghiệm đi thểbước môi_trường truyền_thông marketing agency đối_mặt đói ý_tưởng cơm_bữa dự_án concept idea proposal content mò_cua_bắt ốc idea khác_biệt văn_phòng laptop nghiên_cứu ý_tưởng não trạng_thái căng cực newbie mua sách ngành tưởng huỳnh vĩnh sơn khiêu_vũ ngòi_bút joseph sugarman sách rio đọc ngẫm công_việc tìm_kiếm ý_tưởng sai sách quan_điểm phương_pháp giúp đầu_óc thấm ngành show hướng hướng xoay sở chả sách cầm chỉ_dẫn phụ_thuộc trí tưởng_tượng trải_nghiệm vốn_sống lăn_lộn hai agency thấm_thía tầm chuyến đi đi ao_ước đi miễn_là đầu_óc thư_giãn bôi_trơn thú_vị yên chỗ đọc sách nuốt chữ vô_vị tác_giả hai đấy chả áp_dụng yếu_tố trải_nghiệm ngành sáng_tạo trí tưởng_tượng va_vấp xã_hội yếu_tố quyết_định mẩu content chiến_dịch truyền_thông xuất_sắc chân_thật nghĩa_là đi đi du_lịch đi tham_quan viện_bảo_tàng triển_lãm nghệ_thuật đương_đại tái_chế rác_thải sống_còn chốn đặt_chân nhấc mông dậy đi nhạc_kịch đi phí đi dựng nội_dung quan_sát concept thông_điệp nhạc_kịch nhấn việt_nam sát vách khám_phá trải_nghiệm đầu đấu_tranh_tư_tưởng đi đi trí tưởng_tượng phong_phú tư_duy logic nằm_vùng insight đắt_giá khách_hàng saonhưng đi song_hành câu_chuyện ngẫm quan_sát quan_sát kỹ_năng quan_sát đầu_óc tư_duy ngắm đơn_thuần triển_lãm tranh thông_điệp tác_giả gửi_gắm màu_sắc phối ý_nghĩa tác_phẩm tác_phẩm tác_giả chuyến xe bus đi để_ý cảnh_vật tối nhà_hàng đem ta liên_tưởng quan_sát dùngkỹ năng quan_sát mò_mẫm trau_dồi yếu chân ngành sáng_tạo bản_tính đù_đờ lười_nhác đầu tập guồng đơn_thuần lính khuyên quý_giá ý_tưởng hay_ho comment chụp ảnh đầu_tư máy xịn cầm điện_thoại quan_sát góc đường lưu_giữ ảnh đời hoàn_hảo luyện_tập khả_năng quan_sát khám_phá đẹp xung_quanh truyền_thông marketing nói_láo thú_thật truyền_thông bẩn niềm thông_tin internet always tell the truthnhưng ngành marketing agency inhouse học sự_thật sự_thật tôn_chỉ xây_dựng thương_hiệu khách_hàng thông_tin mong_muốn tiêu_dùng cảm nhiệm_vụ ta uốn_nắn gắn concept biến thông_tin thành thông_điệp thông_điệp sự_thật bốc_phét chém gió cấp_độ tiếc khách_hàng lừa_dối vỡ_lở truyền_thông dĩ_nhiên hứng giáo sát_thương câu_chuyện khảo_sát nước_mắm tai_tiếng vinastas agency ta ogilvy tài_trợ truyền_thông nước_mắm nhiễm arsen dư_luận phẫn_nộ niềm truyền_thông dao sắc_bén liên_tục đâm tao ta ogilvy dối_trá phản_bội tiêu_dùng một_chút tao đơn_thuần đơn hàng cung_cấp chiến_lược doanh_nghiệp doanh_nghiệp lừa_dối tiêu_dùng tao hậu_quả giả_sử tao khuyên khách_hàng sự_thật hề đinh đóng cột dối_trá sản_phẩm tao tao thể điều_tra khách_hàng vụ_việc thừa_nhận tao khủng_hoảng truyền_thông kém đổ đầu tao rác vô_tâm nói_dối lừa_đảo công bằngđối thương_hiệu tự_tin nói_dối đoạn content viết to chiến_dịch truyền_thông marketing tâm sự_thật quảng_cáo nói_láo tâng_bốc hô mưa gọi gió sợ dạng thông_tin kém chất_lượng dắt_mũi dư_luận tờ báo lá_cải đông_đảo cánh nhà_báo viết câu view giật tít linh_tinh truyền_thông đi tàn_phế đứng xỉ_vả tội nói_láo sự_thật cốt_yếu gắn chặt đồng_nghiệp chập_chững nghềnếu viết tiếp trải_nghiệm quý_giá thằng nhóc non_nớt chập_chững nghề hy_vọng viết đem thông_tin hữu_ích ý_định lĩnh_vực truyền_thông marketing quan_sát hoà_nhập marketing sự_thật truyền_thông,5
đừng đợi_chờ câu trả_lời đôi_khi im_lặng câu trả_lời,2
